task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	e9/7fb9e1	3188306	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:STUB_SV (25bm002356_5924)	COMPLETED	0	2026-03-23 18:40:15.633	111ms	6ms	133.3%	0	0	149 KB	330 B
6	c0/abae52	3188296	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:STUB_SV (25cn001365_5923)	COMPLETED	0	2026-03-23 18:40:15.615	123ms	7ms	66.7%	0	0	149 KB	329 B
1	a2/d015bd	3188463	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:WRITE_META	COMPLETED	0	2026-03-23 18:40:15.764	386ms	59ms	33.3%	3.2 MB	4.4 MB	116.3 KB	1.9 KB
4	8c/4f7280	3188788	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:CLINICAL_PATIENTS (1)	COMPLETED	0	2026-03-23 18:40:16.158	1.1s	816ms	68.5%	16.4 MB	62.5 MB	12.1 MB	1019 B
13	bc/70104e	3189048	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:STUB_SV (25bm002398_5925)	COMPLETED	0	2026-03-23 18:40:17.231	78ms	4ms	66.7%	0	0	149 KB	329 B
14	e9/c139c9	3189135	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:STUB_SV (25bm002415_5922)	COMPLETED	0	2026-03-23 18:40:17.314	74ms	5ms	200.0%	0	0	149 KB	330 B
10	02/c60272	3188462	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA_VCF (25cn001365_5923)	COMPLETED	0	2026-03-23 18:40:15.757	7.9s	7.6s	2.2%	26.9 MB	34.6 MB	2 MB	52.9 KB
2	1a/f184ac	3190110	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:WRITE_CASE_LISTS	COMPLETED	0	2026-03-23 18:40:23.666	144ms	36ms	34.8%	0	0	192.3 KB	1.1 KB
3	9c/9e5f1e	3190212	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:STUDY_METADATA:CLINICAL_SAMPLES (1)	COMPLETED	0	2026-03-23 18:40:23.820	1s	783ms	78.0%	11.8 MB	17.8 MB	12.1 MB	1.1 KB
7	ca/869583	3189216	CRCHUMCITADEL_AMPLISEQ_CBIOPORTAL:AMPLISEQ_CBIOPORTAL:PER_SAMPLE_FORMAT:FORMAT_CNA_VCF (25bm002356_5924)	COMPLETED	0	2026-03-23 18:40:17.393	11.4s	11.1s	1.7%	27.1 MB	34.6 MB	2.1 MB	79.3 KB
